"id","pid","sort","name","intro","url","label","icon","create_time","update_time"
"1","0","0","YHselect","选举管理",,,,"0","0"
"2","1","0","YHselectBasic","选举管理",,,,"0","0"
"3","1","0","YHselectAdd","新增",,,,"0","0"
"4","1","0","YHselectEdit","编辑",,,,"0","0"
"5","0","0","YHvote","投票管理",,,,"0","0"
"6","5","0","YHvoteIndex","投票管理",,,,"0","0"
"7","0","0","YHauthority","权限管理",,,,"0","0"
"8","7","0","YHauthorityAccount","账号管理",,,,"0","0"
"9","7","0","YHauthorityRole","角色管理",,,,"0","0"
"10","9","0","YHauthorityLogTest","测试管理",,,,"0","0"
"11","0","0","YHorganization","组织管理",,,,"0","0"
"12","11","0","YHorganizationIndex","组织管理",,,,"0","0"
"13","0","0","YHuser","用户管理",,,,"0","0"
"14","13","0","YHuserIndex","用户管理",,,,"0","0"
"15","0","0","YHlocalData","本地数据",,,,"0","0"
"16","15","0","YHlocalDataIndex","本地数据",,,,"0","0"
"17","0","0","YHapproval","审批管理",,,,"0","0"
"18","17","0","YHapprovalIndex","审批管理",,,,"0","0"
"19","0","0","YHlog","日志管理",,,,"0","0"
"20","19","0","YHlogIndex","日志管理",,,,"0","0"
